Time,Price
2021-03-27,0.1425
2021-03-28,0.1445
2021-03-29,0.1456
2021-03-30,0.1519
2021-03-31,0.1526
2021-04-01,0.1512
2021-04-02,0.1509
2021-04-03,0.1503
2021-04-04,0.1489
2021-04-05,0.1468
2021-04-06,0.1457
2021-04-07,0.1445
2021-04-08,0.145
2021-04-09,0.1461
2021-04-10,0.1474
2021-04-11,0.1465
2021-04-12,0.1476
2021-04-13,0.1481
2021-04-14,0.1471
2021-04-15,0.1474
2021-04-16,0.1473
2021-04-17,0.1474
2021-04-18,0.1484
2021-04-19,0.1464
2021-04-20,0.1494
2021-04-21,0.1512
2021-04-22,0.1532
2021-04-23,0.1539
2021-04-24,0.1639
2021-04-25,0.1654
2021-04-26,0.1643
2021-04-27,0.1664
2021-04-28,0.1634
2021-04-29,0.1633
2021-04-30,0.1632
2021-05-01,0.1588
2021-05-02,0.1588
2021-05-03,0.1605
2021-05-04,0.1592
2021-05-05,0.1563
2021-05-06,0.1554
2021-05-07,0.1552
2021-05-08,0.1525
2021-05-09,0.1526
2021-05-10,0.154
2021-05-11,0.1525
2021-05-12,0.1524
2021-05-13,0.1526
2021-05-14,0.1527
2021-05-15,0.1531
2021-05-16,0.1529
2021-05-17,0.1528
2021-05-18,0.1538
2021-05-19,0.1536
2021-05-20,0.1536
2021-05-21,0.1546
2021-05-22,0.1524
2021-05-23,0.1525
2021-05-24,0.1551
2021-05-25,0.154
2021-05-26,0.155
2021-05-27,0.1555
2021-05-28,0.1554
2021-05-29,0.1555
2021-05-30,0.1535
2021-05-31,0.1538
2021-06-01,0.1549
2021-06-02,0.1549
2021-06-03,0.1554
2021-06-04,0.1545
2021-06-05,0.1546
2021-06-06,0.1617
2021-06-07,0.1627
2021-06-08,0.1607
2021-06-09,0.1621
2021-06-10,0.1624
2021-06-11,0.16399999999999998
2021-06-12,0.1636
2021-06-13,0.1646
2021-06-14,0.1648
2021-06-15,0.1661
2021-06-16,0.1658
2021-06-17,0.1667
2021-06-18,0.1672
2021-06-19,0.1675
2021-06-20,0.1683
2021-06-21,0.1688
2021-06-22,0.1693
2021-06-23,0.1689
2021-06-24,0.1683
